id;name;popular name;description;for;against
1;הצעה מס' 1;שם מגניב 1;שר החינוך יקבע הוראות שמטרתן לעודד צעירים מצטיינים לפנות לתחום ההוראה. המועמדים יקבלו הכשרה אקדמית הכוללת לימודים לתואר שני ולתעודת הוראה וישתלבו במערכת החינוך בסופה. כמו כן, מוצע לקבוע אזורי עדיפות ומקצועות בעלי עדיפות לעבודה, ולתגמל מורים שיבחרו בהם לעוד שם או במקצוע בו חסרים מורים.;1,2,3,4;5,6,7,8,9,10,11,12
2;הצעה מס' 2;שם מגניב 2;שר החינוך יקבע הוראות שמטרתן לעודד צעירים מצטיינים לפנות לתחום ההוראה. המועמדים יקבלו הכשרה אקדמית הכוללת לימודים לתואר שני ולתעודת הוראה וישתלבו במערכת החינוך בסופה. כמו כן, מוצע לקבוע אזורי עדיפות ומקצועות בעלי עדיפות לעבודה, ולתגמל מורים שיבחרו בהם לעוד שם או במקצוע בו חסרים מורים.;1,2,4;5,6,7,8,9,11,12
3;הצעה מס' 3;שם מגניב 3;שר החינוך יקבע הוראות שמטרתן לעודד צעירים מצטיינים לפנות לתחום ההוראה. המועמדים יקבלו הכשרה אקדמית הכוללת לימודים לתואר שני ולתעודת הוראה וישתלבו במערכת החינוך בסופה. כמו כן, מוצע לקבוע אזורי עדיפות ומקצועות בעלי עדיפות לעבודה, ולתגמל מורים שיבחרו בהם לעוד שם או במקצוע בו חסרים מורים.;5,6,7,8,9,10,11,12;1,2,3,4
4;הצעה מס' 4;שם מגניב 4;שר החינוך יקבע הוראות שמטרתן לעודד צעירים מצטיינים לפנות לתחום ההוראה. המועמדים יקבלו הכשרה אקדמית הכוללת לימודים לתואר שני ולתעודת הוראה וישתלבו במערכת החינוך בסופה. כמו כן, מוצע לקבוע אזורי עדיפות ומקצועות בעלי עדיפות לעבודה, ולתגמל מורים שיבחרו בהם לעוד שם או במקצוע בו חסרים מורים.;5,6,7,8,9,11,12;1,2,4
5;הצעה מס' 5;שם מגניב 5;שר החינוך יקבע הוראות שמטרתן לעודד צעירים מצטיינים לפנות לתחום ההוראה. המועמדים יקבלו הכשרה אקדמית הכוללת לימודים לתואר שני ולתעודת הוראה וישתלבו במערכת החינוך בסופה. כמו כן, מוצע לקבוע אזורי עדיפות ומקצועות בעלי עדיפות לעבודה, ולתגמל מורים שיבחרו בהם לעוד שם או במקצוע בו חסרים מורים.;1,2,3,4;5,6,7,8,9,10,11,12
6;הצעה מס' 6;שם מגניב 6;שר החינוך יקבע הוראות שמטרתן לעודד צעירים מצטיינים לפנות לתחום ההוראה. המועמדים יקבלו הכשרה אקדמית הכוללת לימודים לתואר שני ולתעודת הוראה וישתלבו במערכת החינוך בסופה. כמו כן, מוצע לקבוע אזורי עדיפות ומקצועות בעלי עדיפות לעבודה, ולתגמל מורים שיבחרו בהם לעוד שם או במקצוע בו חסרים מורים.;1,2,4;5,6,7,8,9,11,12
7;הצעה מס' 7;שם מגניב 7;שר החינוך יקבע הוראות שמטרתן לעודד צעירים מצטיינים לפנות לתחום ההוראה. המועמדים יקבלו הכשרה אקדמית הכוללת לימודים לתואר שני ולתעודת הוראה וישתלבו במערכת החינוך בסופה. כמו כן, מוצע לקבוע אזורי עדיפות ומקצועות בעלי עדיפות לעבודה, ולתגמל מורים שיבחרו בהם לעוד שם או במקצוע בו חסרים מורים.;5,6,7,8,9,10,11,12;1,2,3,4
8;הצעה מס' 8;שם מגניב 8;שר החינוך יקבע הוראות שמטרתן לעודד צעירים מצטיינים לפנות לתחום ההוראה. המועמדים יקבלו הכשרה אקדמית הכוללת לימודים לתואר שני ולתעודת הוראה וישתלבו במערכת החינוך בסופה. כמו כן, מוצע לקבוע אזורי עדיפות ומקצועות בעלי עדיפות לעבודה, ולתגמל מורים שיבחרו בהם לעוד שם או במקצוע בו חסרים מורים.;5,6,7,8,9,11,12;1,2,4
9;הצעה מס' 9;שם מגניב 9;שר החינוך יקבע הוראות שמטרתן לעודד צעירים מצטיינים לפנות לתחום ההוראה. המועמדים יקבלו הכשרה אקדמית הכוללת לימודים לתואר שני ולתעודת הוראה וישתלבו במערכת החינוך בסופה. כמו כן, מוצע לקבוע אזורי עדיפות ומקצועות בעלי עדיפות לעבודה, ולתגמל מורים שיבחרו בהם לעוד שם או במקצוע בו חסרים מורים.;1,2,3,4;5,6,7,8,9,10,11,12
10;הצעה מס' 10;שם מגניב 10;שר החינוך יקבע הוראות שמטרתן לעודד צעירים מצטיינים לפנות לתחום ההוראה. המועמדים יקבלו הכשרה אקדמית הכוללת לימודים לתואר שני ולתעודת הוראה וישתלבו במערכת החינוך בסופה. כמו כן, מוצע לקבוע אזורי עדיפות ומקצועות בעלי עדיפות לעבודה, ולתגמל מורים שיבחרו בהם לעוד שם או במקצוע בו חסרים מורים.;1,2,4;5,6,7,8,9,11,12
